valueSource,historyProvider,setpointA,name1,label,priority,timestampSource,opcItemPath,dataType,documentation,name,tooltip,historyEnabled,tagType,opcServer,,
opc,Edge Historian,1,Alarm 2.08,"T3 HIGH-HIGH, OVERFLOW POSSIBLE, SHUT DOWN: [MOV-03], [MOV-01], [MOV-02] AND CONTACT MAINTAINENCE, [LV2] [2.8]",Critical,Value,ns=1;s=[ARTNS]FAULT_2.8,Boolean,"T3 HIGH-HIGH, OVERFLOW POSSIBLE, SHUT DOWN: [MOV-03], [MOV-01], [MOV-02] AND CONTACT MAINTAINENCE, [LV2] [2.8]",Fault 2.08,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.09,"T4 HIGH-HIGH, OVERFLOW POSSIBLE, SHUT DOWN: [MOV-03], [MOV-01], [MOV-02] AND CONTACT MAINTAINENCE, [LV5] [2.9]",Critical,Value,ns=1;s=[ARTNS]FAULT_2.9,Boolean,"T4 HIGH-HIGH, OVERFLOW POSSIBLE, SHUT DOWN: [MOV-03], [MOV-01], [MOV-02] AND CONTACT MAINTAINENCE, [LV5] [2.9]",Fault 2.09,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.10,"TR1 HIGH-HIGH, OVERFLOW POSSIBLE, SHUT DOWN: [MOV-03], [MOV-01], [MOV-02] AND CONTACT MAINTAINENCE, [LV8] [2.10]",Critical,Value,ns=1;s=[ARTNS]FAULT_2.10,Boolean,"TR1 HIGH-HIGH, OVERFLOW POSSIBLE, SHUT DOWN: [MOV-03], [MOV-01], [MOV-02] AND CONTACT MAINTAINENCE, [LV8] [2.10]",Fault 2.10,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.11,"TR2 HIGH-HIGH, OVERFLOW POSSIBLE, SHUT DOWN: [MOV-03], [MOV-01], [MOV-02] AND CONTACT MAINTAINENCE, [LV9] [2.11]",Critical,Value,ns=1;s=[ARTNS]FAULT_2.11,Boolean,"TR2 HIGH-HIGH, OVERFLOW POSSIBLE, SHUT DOWN: [MOV-03], [MOV-01], [MOV-02] AND CONTACT MAINTAINENCE, [LV9] [2.11]",Fault 2.11,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.12,"CABINET SAFETY DCS DISCREPANCY TIMER FAULT, CH0=1,CH1=0, [2.12]",High,Value,ns=1;s=[ARTNS]FAULT_2.12,Boolean,"CABINET SAFETY DCS DISCREPANCY TIMER FAULT, CH0=1,CH1=0, [2.12]",Fault 2.12,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.13,"CABINET SAFETY DCS DISCREPANCY TIMER FAULT, CH0=0,CH1=1, [2.13]",High,Value,ns=1;s=[ARTNS]FAULT_2.13,Boolean,"CABINET SAFETY DCS DISCREPANCY TIMER FAULT, CH0=0,CH1=1, [2.13]",Fault 2.13,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.14,"CABINET SAFETY DCS CHANNEL FAULT, CH0=0, CH1=1, [2.14]",High,Value,ns=1;s=[ARTNS]FAULT_2.14,Boolean,"CABINET SAFETY DCS CHANNEL FAULT, CH0=0, CH1=1, [2.14]",Fault 2.14,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.15,"CABINET SAFETY DCS CHANNEL FAULT, CH0=1, CH1=0, [2.15]",High,Value,ns=1;s=[ARTNS]FAULT_2.15,Boolean,"CABINET SAFETY DCS CHANNEL FAULT, CH0=1, CH1=0, [2.15]",Fault 2.15,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.16,"CABINET SAFETY DUMP VALVE DID NOT PICK UP WITHIN ALLOWABLE TIME [DV1], [2.16]",High,Value,ns=1;s=[ARTNS]FAULT_2.16,Boolean,"CABINET SAFETY DUMP VALVE DID NOT PICK UP WITHIN ALLOWABLE TIME [DV1], [2.16]",Fault 2.16,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.17,"MAIN CABINET SAFETY RELAY TURNED OFF UNEXPECTEDLY [K1],[K2], [2.17]",High,Value,ns=1;s=[ARTNS]FAULT_2.17,Boolean,"MAIN CABINET SAFETY RELAY TURNED OFF UNEXPECTEDLY [K1],[K2], [2.17]",Fault 2.17,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.18,"MAIN CABINET SAFETY RELAYS DID NOT PICK UP [K1],[K2], [2.18]",High,Value,ns=1;s=[ARTNS]FAULT_2.18,Boolean,"MAIN CABINET SAFETY RELAYS DID NOT PICK UP [K1],[K2], [2.18]",Fault 2.18,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.19,"MAIN CABINET DUMP VALVE DISCREPENCY TIMER FAULT [DV1], [2.19]",High,Value,ns=1;s=[ARTNS]FAULT_2.19,Boolean,"MAIN CABINET DUMP VALVE DISCREPENCY TIMER FAULT [DV1], [2.19]",Fault 2.19,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.20,"MAIN CABINET CABINET DUMP VAVLE CHANNEL FLICKERED [DV1], [2.20]",High,Value,ns=1;s=[ARTNS]FAULT_2.20,Boolean,"MAIN CABINET CABINET DUMP VAVLE CHANNEL FLICKERED [DV1], [2.20]",Fault 2.20,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.21,"FH1 SAFETY DCS DISCREPANCY TIMER FAULT, CH0=1,CH1=0, [2.21]",High,Value,ns=1;s=[ARTNS]FAULT_2.21,Boolean,"FH1 SAFETY DCS DISCREPANCY TIMER FAULT, CH0=1,CH1=0, [2.21]",Fault 2.21,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.22,"FH1 SAFETY DCS DISCREPANCY TIMER FAULT, CH0=0,CH1=1, [2.22]",High,Value,ns=1;s=[ARTNS]FAULT_2.22,Boolean,"FH1 SAFETY DCS DISCREPANCY TIMER FAULT, CH0=0,CH1=1, [2.22]",Fault 2.22,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.23,"FH1 SAFETY DCS CHANNEL FAULT, CH0=0, CH1=1, [2.23]",High,Value,ns=1;s=[ARTNS]FAULT_2.23,Boolean,"FH1 SAFETY DCS CHANNEL FAULT, CH0=0, CH1=1, [2.23]",Fault 2.23,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.24,"FH1 SAFETY DCS CHANNEL FAULT, CH0=1, CH1=0, [2.24]",High,Value,ns=1;s=[ARTNS]FAULT_2.24,Boolean,"FH1 SAFETY DCS CHANNEL FAULT, CH0=1, CH1=0, [2.24]",Fault 2.24,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.25,"CABINET SAFETY DUMP VALVE DID NOT PICK UP WITHIN ALLOWABLE TIME [DV2], [2.25]",High,Value,ns=1;s=[ARTNS]FAULT_2.25,Boolean,"CABINET SAFETY DUMP VALVE DID NOT PICK UP WITHIN ALLOWABLE TIME [DV2], [2.25]",Fault 2.25,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.26,"FH1 CABINET SAFETY RELAYS TURNED OFF UNEXPECTEDLY [K3],[K4], [2.26]",High,Value,ns=1;s=[ARTNS]FAULT_2.26,Boolean,"FH1 CABINET SAFETY RELAYS TURNED OFF UNEXPECTEDLY [K3],[K4], [2.26]",Fault 2.26,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.27,"FH1 CABINET SAFETY RELAYS DID NOT PICK UP [K3],[K4], [2.27]",High,Value,ns=1;s=[ARTNS]FAULT_2.27,Boolean,"FH1 CABINET SAFETY RELAYS DID NOT PICK UP [K3],[K4], [2.27]",Fault 2.27,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.28,"FH1 DUMP VALVE DISCREPENCY TIMER FAULT [DV2], [2.28]",High,Value,ns=1;s=[ARTNS]FAULT_2.28,Boolean,"FH1 DUMP VALVE DISCREPENCY TIMER FAULT [DV2], [2.28]",Fault 2.28,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.29,"FH1 CABINET DUMP VAVLE CHANNEL FLICKERED [DV2], [2.29]",High,Value,ns=1;s=[ARTNS]FAULT_2.29,Boolean,"FH1 CABINET DUMP VAVLE CHANNEL FLICKERED [DV2], [2.29]",Fault 2.29,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.30,"FH2 SAFETY DCS DISCREPANCY TIMER FAULT, CH0=1,CH1=0, [2.30]",High,Value,ns=1;s=[ARTNS]FAULT_2.30,Boolean,"FH2 SAFETY DCS DISCREPANCY TIMER FAULT, CH0=1,CH1=0, [2.30]",Fault 2.30,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 2.31,"FH2 SAFETY DCS DISCREPANCY TIMER FAULT, CH0=0,CH1=1, [2.31]",High,Value,ns=1;s=[ARTNS]FAULT_2.31,Boolean,"FH2 SAFETY DCS DISCREPANCY TIMER FAULT, CH0=0,CH1=1, [2.31]",Fault 2.31,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.00,"FH2 SAFETY DCS CHANNEL FAULT, CH0=0, CH1=1, [3.0]",High,Value,ns=1;s=[ARTNS]FAULT_3.0,Boolean,"FH2 SAFETY DCS CHANNEL FAULT, CH0=0, CH1=1, [3.0]",Fault 3.00,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.01,"FH2 SAFETY DCS CHANNEL FAULT, CH0=1, CH1=0, [3.1]",High,Value,ns=1;s=[ARTNS]FAULT_3.1,Boolean,"FH2 SAFETY DCS CHANNEL FAULT, CH0=1, CH1=0, [3.1]",Fault 3.01,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.02,"CABINET SAFETY DUMP VALVE DID NOT PICK UP WITHIN ALLOWABLE TIME [DV3], [3.2]",High,Value,ns=1;s=[ARTNS]FAULT_3.2,Boolean,"CABINET SAFETY DUMP VALVE DID NOT PICK UP WITHIN ALLOWABLE TIME [DV3], [3.2]",Fault 3.02,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.03,"FH2 CABINET SAFETY RELAYS TURNED OFF UNEXPECTEDLY [K5],[K6], [3.3]",High,Value,ns=1;s=[ARTNS]FAULT_3.3,Boolean,"FH2 CABINET SAFETY RELAYS TURNED OFF UNEXPECTEDLY [K5],[K6], [3.3]",Fault 3.03,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.04,"FH2 CABINET SAFETY RELAYS DID NOT PICK UP [K5],[K6], [3.4]",High,Value,ns=1;s=[ARTNS]FAULT_3.4,Boolean,"FH2 CABINET SAFETY RELAYS DID NOT PICK UP [K5],[K6], [3.4]",Fault 3.04,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.05,"FH2 DUMP VALVE DISCREPENCY TIMER FAULT [DV3], [3.5]",High,Value,ns=1;s=[ARTNS]FAULT_3.5,Boolean,"FH2 DUMP VALVE DISCREPENCY TIMER FAULT [DV3], [3.5]",Fault 3.05,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.06,"FH2 CABINET DUMP VAVLE CHANNEL FLICKERED [DV3], [3.6]",High,Value,ns=1;s=[ARTNS]FAULT_3.6,Boolean,"FH2 CABINET DUMP VAVLE CHANNEL FLICKERED [DV3], [3.6]",Fault 3.06,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.07,"SPARE SAFETY FAULT, [3.7]",High,Value,ns=1;s=[ARTNS]FAULT_3.7,Boolean,"SPARE SAFETY FAULT, [3.7]",Fault 3.07,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.08,"SPARE SAFETY FAULT, [3.8]",High,Value,ns=1;s=[ARTNS]FAULT_3.8,Boolean,"SPARE SAFETY FAULT, [3.8]",Fault 3.08,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.09,"SPARE SAFETY FAULT, [3.9]",High,Value,ns=1;s=[ARTNS]FAULT_3.9,Boolean,"SPARE SAFETY FAULT, [3.9]",Fault 3.09,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.10,"SPARE SAFETY FAULT, [3.10]",High,Value,ns=1;s=[ARTNS]FAULT_3.10,Boolean,"SPARE SAFETY FAULT, [3.10]",Fault 3.10,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.11,"SPARE SAFETY FAULT, [3.11]",High,Value,ns=1;s=[ARTNS]FAULT_3.11,Boolean,"SPARE SAFETY FAULT, [3.11]",Fault 3.11,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.12,,Low,Value,ns=1;s=[ARTNS]FAULT_3.12,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.13,,Low,Value,ns=1;s=[ARTNS]FAULT_3.13,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.14,,Low,Value,ns=1;s=[ARTNS]FAULT_3.14,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.15,,Low,Value,ns=1;s=[ARTNS]FAULT_3.15,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.16,,Low,Value,ns=1;s=[ARTNS]FAULT_3.16,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.17,,Low,Value,ns=1;s=[ARTNS]FAULT_3.17,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.18,,Low,Value,ns=1;s=[ARTNS]FAULT_3.18,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.19,,Low,Value,ns=1;s=[ARTNS]FAULT_3.19,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.20,,Low,Value,ns=1;s=[ARTNS]FAULT_3.20,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.21,,Low,Value,ns=1;s=[ARTNS]FAULT_3.21,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.22,,Low,Value,ns=1;s=[ARTNS]FAULT_3.22,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.23,,Low,Value,ns=1;s=[ARTNS]FAULT_3.23,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.24,,Low,Value,ns=1;s=[ARTNS]FAULT_3.24,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.25,,Low,Value,ns=1;s=[ARTNS]FAULT_3.25,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.26,,Low,Value,ns=1;s=[ARTNS]FAULT_3.26,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.27,,Low,Value,ns=1;s=[ARTNS]FAULT_3.27,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.28,,Low,Value,ns=1;s=[ARTNS]FAULT_3.28,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.29,,Low,Value,ns=1;s=[ARTNS]FAULT_3.29,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.30,,Low,Value,ns=1;s=[ARTNS]FAULT_3.30,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 3.31,,Low,Value,ns=1;s=[ARTNS]FAULT_3.31,Boolean,,,,,AtomicTag,Ignition OPC UA Server,,
